H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,State,id,year,District,Party,Total_YEA,Total_NAY
,Vela,,,,Visclosky,,,,,,,,,,,,Walden,,,,Welch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young (IA),,,,,,,"Representative Thompson, Bennie G.",Mississippi,18005,House: 1993-Present,2,Democratic,,
,Vel zquez,,,,Wagner,,,,,,,,,,,,Walker,,,,Wenstrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldin,,,,,,,"Representative Thompson, Glenn",Pennsylvania,18007,House: 2009-Present,15,Republican,,
,Visclosky,,,,Walberg,,,,,,,,,,,,Walorski,,,,Westerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Thompson, Mike",California,18009,House: 1999-Present,5,Democratic,,
,Wagner,,,,Walden,,,,,,,,,,,,"Walters, Mimi",,,,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Thornberry, Mac",Texas,18011,House: 1995-Present,13,Republican,,
,Walberg,,,,Walker,,,,,,,,,,,,Walz,,,,Wilson (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Timmons, William R. IV",South Carolina,18013,House: 2019-Present,4,Republican,0,0
,Walden,,,,Walorski,,,,,,,,,,,,Wasserman Schultz,,,,Wilson (SC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Tipton, Scott  R.",Colorado,18015,House: 2011-Present,3,Republican,,
,Walker,,,,"Walters, Mimi",,,,,,,,,,,,"Waters, Maxine",,,,Wittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Titus, Dina",Nevada,18017,"House: 2009-2011, 2013-Present",1,Democratic,,
,Walorski,,,,Walz,,,,,,,,,,,,Watson Coleman,,,,Womack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Tlaib, Rashida",Michigan,18019,House: 2019-Present,13,Democratic,0,0
,"Walters, Mimi",,,,Wasserman Schultz,,,,,,,,,,,,Weber (TX),,,,Woodall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Tonko, Paul",New York,18021,House: 2009-Present,20,Democratic,,
,Walz,,,,"Waters, Maxine",,,,,,,,,,,,Webster (FL),,,,Yarmuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Torres Small, Xochitl",New Mexico,18023,House: 2019-Present,2,Democratic,0,0
,Wasserman Schultz,,,,Watson Coleman,,,,,,,,,,,,Welch,,,,Yoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Torres, Norma J.",California,18025,House: 2015-Present,35,Democratic,,
,"Waters, Maxine",,,,Weber (TX),,,,,,,,,,,,Wenstrup,,,,Yoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Trahan, Lori",Massachusetts,18027,House: 2019-Present,3,Democratic,0,0
,Watson Coleman,,,,Webster (FL),,,,,,,,,,,,Westerman,,,,Young (AK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Trone, David J.",Maryland,18029,House: 2019-Present,6,Democratic,0,0
,Weber (TX),,,,Welch,,,,,,,,,,,,Westmoreland,,,,Young (IA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Turner, Michael R.",Ohio,18031,House: 2003-Present,10,Republican,,
,Welch,,,,Wenstrup,,,,,,,,,,,,Whitfield,,,,Zeldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Underwood, Lauren",Illinois,18033,House: 2019-Present,14,Democratic,0,0
,Wenstrup,,,,Westerman,,,,,,,,,,,,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Upton, Fred",Michigan,18035,House: 1987-Present,6,Republican,,
,Westerman,,,,Westmoreland,,,,,,,,,,,,Wilson (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Van Drew, Jefferson",New Jersey,18037,House: 2019-Present,2,Democratic,0,0
,Westmoreland,,,,Williams,,,,,,,,,,,,Wilson (SC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Vargas, Juan",California,18039,House: 2013-Present,51,Democratic,,
,Williams,,,,Wilson (FL),,,,,,,,,,,,Wittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Veasey, Marc A.",Texas,18041,House: 2013-Present,33,Democratic,,
,Wilson (FL),,,,Wilson (SC),,,,,,,,,,,,Womack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Vela, Filemon",Texas,18043,House: 2013-Present,34,Democratic,,
,Wilson (SC),,,,Wittman,,,,,,,,,,,,Woodall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Velazquez, Nydia M.",New York,18045,House: 1993-Present,7,Democratic,,
,Wittman,,,,Womack,,,,,,,,,,,,Yarmuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Visclosky, Peter J.",Indiana,18047,House: 1985-Present,1,Democratic,,
,Womack,,,,Woodall,,,,,,,,,,,,Yoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wagner, Ann",Missouri,18049,House: 2013-Present,2,Republican,,
,Woodall,,,,Yarmuth,,,,,,,,,,,,Yoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Walberg, Tim",Michigan,18051,"House: 2007-2009, 2011-Present",7,Republican,,
,Yarmuth,,,,Yoder,,,,,,,,,,,,Young (AK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Walden, Greg",Oregon,18053,House: 1999-Present,2,Republican,,
,Yoder,,,,Yoho,,,,,,,,,,,,Young (IA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Walker, Mark",North Carolina,18055,House: 2015-Present,6,Republican,,
,Yoho,,,,Young (AK),,,,,,,,,,,,Young (IN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Walorski, Jackie",Indiana,18057,House: 2013-Present,2,Republican,,
,Young (AK),,,,Young (IA),,,,,,,,,,,,Zeldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Waltz, Michael",Florida,18059,House: 2019-Present,6,Republican,0,0
,Young (IA),,,,Young (IN),,,,,,,,,,,,Zinke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wasserman Schultz, Debbie",Florida,18061,House: 2005-Present,23,Democratic,,
,Young (IN),,,,Zeldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Waters, Maxine",California,18063,House: 1991-Present,43,Democratic,,
,Zeldin,,,,Zinke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Watkins, Steve",Kansas,18065,House: 2019-Present,2,Republican,0,0
,Zinke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Watson Coleman, Bonnie",New Jersey,18067,House: 2015-Present,12,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Weber, Randy K., Sr.",Texas,18069,House: 2013-Present,14,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Webster, Daniel",Florida,18071,House: 2011-Present,11,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Welch, Peter",Vermont,18073,House: 2007-Present,,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wenstrup, Brad R.",Ohio,18075,House: 2013-Present,2,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Westerman, Bruce",Arkansas,18077,House: 2015-Present,4,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wexton, Jennifer",Virginia,18079,House: 2019-Present,10,Democratic,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wild, Susan",Pennsylvania,18081,House: 2018-Present,7,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Williams, Roger",Texas,18083,House: 2013-Present,25,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wilson, Frederica S.",Florida,18085,House: 2011-Present,24,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wilson, Joe",South Carolina,18087,House: 2001-Present,2,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wittman, Robert J.",Virginia,18089,House: 2007-Present,1,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Womack, Steve",Arkansas,18091,House: 2011-Present,3,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Woodall, Rob",Georgia,18093,House: 2011-Present,7,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wright, Ron",Texas,18095,House: 2019-Present,6,Republican,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Yarmuth, John A.",Kentucky,18097,House: 2007-Present,3,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Yoho, Ted S.",Florida,18099,House: 2013-Present,3,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Young, Don",Alaska,18101,House: 1973-Present,1,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Zeldin, Lee M.",New York,18103,House: 2015-Present,1,Republican,,
