H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,State, Id,X,Y,year,District,Party,Total_YEA,Total_NAY
,Tonko,,,,Trott,,,,,,,,,,,,Upton,,,,Walberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wenstrup,,,,Yarmuth,,,"Representative Stefanik, Elise M.",New York,36,,,House: 2015-Present,21,Republican,,
,Torres,,,,Tsongas,,,,,,,,,,,,Valadao,,,,Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westerman,,,,Yoder,,,"Representative Steil, Bryan",Wisconsin,55,,,House: 2019-Present,1,Republican,0,0
,Trott,,,,Turner,,,,,,,,,,,,Van Hollen,,,,Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Williams,,,,Yoho,,,"Representative Steube, W. Gregory",Florida,12,,,House: 2019-Present,17,Republican,0,0
,Tsongas,,,,Upton,,,,,,,,,,,,Vargas,,,,Walorski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wittman,,,,Young (AK),,,"Representative Stevens, Haley M.",Michigan,26,,,House: 2019-Present,11,Democratic,0,0
,Turner,,,,Valadao,,,,,,,,,,,,Veasey,,,,"Walters, Mimi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womack,,,,Young (IA),,,"Representative Stewart, Chris",Utah,49,,,House: 2013-Present,2,Republican,,
,Upton,,,,Van Hollen,,,,,,,,,,,,Vela,,,,Wasserman Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woodall,,,,Zeldin,,,"Representative Stivers, Steve",Ohio,39,-82.48913733,39.56958001,House: 2011-Present,15,Republican,,
,Valadao,,,,Vargas,,,,,,,,,,,,Velázquez,,,,"Waters, Maxine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarmuth,,,,,,,"Representative Suozzi, Thomas R.",New York,36,,,House: 2017-Present,3,Democratic,,
,Van Hollen,,,,Veasey,,,,,,,,,,,,Visclosky,,,,Watson Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoder,,,,,,,"Representative Swalwell, Eric",California,6,-121.8574055,37.65402169,House: 2013-Present,15,Democratic,,
,Vargas,,,,Vela,,,,,,,,,,,,Wagner,,,,Weber (TX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoho,,,,,,,"Representative Takano, Mark",California,6,-117.2762429,33.87371161,House: 2013-Present,41,Democratic,,
,Veasey,,,,Velázquez,,,,,,,,,,,,Walberg,,,,Webster (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young (AK),,,,,,,"Representative Taylor, Van",Texas,48,-96.60654158,33.17413279,House: 2019-Present,3,Republican,,
,Vela,,,,Visclosky,,,,,,,,,,,,Walden,,,,Welch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young (IA),,,,,,,"Representative Thompson, Bennie G.",Mississippi,28,,,House: 1993-Present,2,Democratic,,
,Velázquez,,,,Wagner,,,,,,,,,,,,Walker,,,,Wenstrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldin,,,,,,,"Representative Thompson, Glenn",Pennsylvania,42,,,House: 2009-Present,15,Republican,,
,Visclosky,,,,Walberg,,,,,,,,,,,,Walorski,,,,Westerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Thompson, Mike",California,6,-122.3824982,38.528454,House: 1999-Present,5,Democratic,,
,Wagner,,,,Walden,,,,,,,,,,,,"Walters, Mimi",,,,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Thornberry, Mac",Texas,48,,,House: 1995-Present,13,Republican,,
,Walberg,,,,Walker,,,,,,,,,,,,Walz,,,,Wilson (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Timmons, William R. IV",South Carolina,45,,,House: 2019-Present,4,Republican,0,0
,Walden,,,,Walorski,,,,,,,,,,,,Wasserman Schultz,,,,Wilson (SC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Tipton, Scott  R.",Colorado,8,,,House: 2011-Present,3,Republican,,
,Walker,,,,"Walters, Mimi",,,,,,,,,,,,"Waters, Maxine",,,,Wittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Titus, Dina",Nevada,32,,,"House: 2009-2011, 2013-Present",1,Democratic,,
,Walorski,,,,Walz,,,,,,,,,,,,Watson Coleman,,,,Womack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Tlaib, Rashida",Michigan,26,,,House: 2019-Present,13,Democratic,0,0
,"Walters, Mimi",,,,Wasserman Schultz,,,,,,,,,,,,Weber (TX),,,,Woodall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Tonko, Paul",New York,36,,,House: 2009-Present,20,Democratic,,
,Walz,,,,"Waters, Maxine",,,,,,,,,,,,Webster (FL),,,,Yarmuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Torres Small, Xochitl",New Mexico,35,,,House: 2019-Present,2,Democratic,0,0
,Wasserman Schultz,,,,Watson Coleman,,,,,,,,,,,,Welch,,,,Yoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Torres, Norma J.",California,6,-117.6724949,34.03338209,House: 2015-Present,35,Democratic,,
,"Waters, Maxine",,,,Weber (TX),,,,,,,,,,,,Wenstrup,,,,Yoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Trahan, Lori",Massachusetts,25,,,House: 2019-Present,3,Democratic,0,0
,Watson Coleman,,,,Webster (FL),,,,,,,,,,,,Westerman,,,,Young (AK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Trone, David J.",Maryland,24,,,House: 2019-Present,6,Democratic,0,0
,Weber (TX),,,,Welch,,,,,,,,,,,,Westmoreland,,,,Young (IA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Turner, Michael R.",Ohio,39,-84.06734679,39.71775296,House: 2003-Present,10,Republican,,
,Welch,,,,Wenstrup,,,,,,,,,,,,Whitfield,,,,Zeldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Underwood, Lauren",Illinois,17,,,House: 2019-Present,14,Democratic,0,0
,Wenstrup,,,,Westerman,,,,,,,,,,,,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Upton, Fred",Michigan,26,,,House: 1987-Present,6,Republican,,
,Westerman,,,,Westmoreland,,,,,,,,,,,,Wilson (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Van Drew, Jefferson",New Jersey,34,,,House: 2019-Present,2,Democratic,0,0
,Westmoreland,,,,Williams,,,,,,,,,,,,Wilson (SC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Vargas, Juan",California,6,-115.2996457,32.98365019,House: 2013-Present,51,Democratic,,
,Williams,,,,Wilson (FL),,,,,,,,,,,,Wittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Veasey, Marc A.",Texas,48,-96.94998545,32.75692616,House: 2013-Present,33,Democratic,,
,Wilson (FL),,,,Wilson (SC),,,,,,,,,,,,Womack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Vela, Filemon",Texas,48,-98.08527297,27.73290301,House: 2013-Present,34,Democratic,,
,Wilson (SC),,,,Wittman,,,,,,,,,,,,Woodall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Velazquez, Nydia M.",New York,36,,,House: 1993-Present,7,Democratic,,
,Wittman,,,,Womack,,,,,,,,,,,,Yarmuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Visclosky, Peter J.",Indiana,18,-87.17018553,41.46125248,House: 1985-Present,1,Democratic,,
,Womack,,,,Woodall,,,,,,,,,,,,Yoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wagner, Ann",Missouri,29,,,House: 2013-Present,2,Republican,,
,Woodall,,,,Yarmuth,,,,,,,,,,,,Yoho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Walberg, Tim",Michigan,26,,,"House: 2007-2009, 2011-Present",7,Republican,,
,Yarmuth,,,,Yoder,,,,,,,,,,,,Young (AK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Walden, Greg",Oregon,41,,,House: 1999-Present,2,Republican,,
,Yoder,,,,Yoho,,,,,,,,,,,,Young (IA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Walker, Mark",North Carolina,37,,,House: 2015-Present,6,Republican,,
,Yoho,,,,Young (AK),,,,,,,,,,,,Young (IN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Walorski, Jackie",Indiana,18,,,House: 2013-Present,2,Republican,,
,Young (AK),,,,Young (IA),,,,,,,,,,,,Zeldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Waltz, Michael",Florida,12,,,House: 2019-Present,6,Republican,0,0
,Young (IA),,,,Young (IN),,,,,,,,,,,,Zinke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wasserman Schultz, Debbie",Florida,12,,,House: 2005-Present,23,Democratic,,
,Young (IN),,,,Zeldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Waters, Maxine",California,6,-118.3219177,33.88048504,House: 1991-Present,43,Democratic,,
,Zeldin,,,,Zinke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Watkins, Steve",Kansas,20,,,House: 2019-Present,2,Republican,0,0
,Zinke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Watson Coleman, Bonnie",New Jersey,34,,,House: 2015-Present,12,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Weber, Randy K., Sr.",Texas,48,-95.40205432,29.19442325,House: 2013-Present,14,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Webster, Daniel",Florida,12,,,House: 2011-Present,11,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Welch, Peter",Vermont,50,,,House: 2007-Present,,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wenstrup, Brad R.",Ohio,39,-83.55055166,38.98762463,House: 2013-Present,2,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Westerman, Bruce",Arkansas,5,,,House: 2015-Present,4,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wexton, Jennifer",Virginia,51,,,House: 2019-Present,10,Democratic,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wild, Susan",Pennsylvania,42,,,House: 2018-Present,7,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Williams, Roger",Texas,48,-98.05692539,31.24227911,House: 2013-Present,25,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wilson, Frederica S.",Florida,12,,,House: 2011-Present,24,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wilson, Joe",South Carolina,45,,,House: 2001-Present,2,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wittman, Robert J.",Virginia,51,,,House: 2007-Present,1,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Womack, Steve",Arkansas,5,,,House: 2011-Present,3,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Woodall, Rob",Georgia,13,,,House: 2011-Present,7,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Wright, Ron",Texas,48,-96.69797576,32.29976665,House: 2019-Present,6,Republican,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Yarmuth, John A.",Kentucky,21,-85.7088,38.1887478,House: 2007-Present,3,Democratic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Yoho, Ted S.",Florida,12,,,House: 2013-Present,3,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Young, Don",Alaska,2,,,House: 1973-Present,1,Republican,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Representative Zeldin, Lee M.",New York,36,,,House: 2015-Present,1,Republican,,
